,N,NaiveTime,PipTime,curve,order
0,2,0.09587216377258301,0.06415224075317383,NIST256p,256
1,8,0.40474414825439453,0.13618111610412598,NIST256p,256
2,14,0.6991851329803467,0.2175431251525879,NIST256p,256
3,20,1.0368876457214355,0.3641221523284912,NIST256p,256
4,26,1.1566064357757568,0.33318471908569336,NIST256p,256
5,32,1.3845453262329102,0.39469170570373535,NIST256p,256
6,38,1.6762940883636475,0.4052872657775879,NIST256p,256
7,44,2.279176712036133,0.46406006813049316,NIST256p,256
8,50,3.1386871337890625,1.0303049087524414,NIST256p,256
9,56,2.1700899600982666,0.5143096446990967,NIST256p,256
10,62,2.3899986743927,0.5639300346374512,NIST256p,256
11,68,2.605438470840454,0.5653259754180908,NIST256p,256
12,74,2.8748230934143066,0.6454572677612305,NIST256p,256
13,80,3.077878713607788,0.6770658493041992,NIST256p,256
14,86,3.2898786067962646,0.7129957675933838,NIST256p,256
15,92,3.5571577548980713,0.7637577056884766,NIST256p,256
16,98,3.714155912399292,0.8267683982849121,NIST256p,256
17,104,4.063034772872925,0.8944463729858398,NIST256p,256
18,110,4.205602645874023,0.922971248626709,NIST256p,256
19,116,4.4183349609375,0.9971997737884521,NIST256p,256
20,122,4.814443826675415,1.012831211090088,NIST256p,256
21,128,4.920409440994263,1.0209064483642578,NIST256p,256
22,134,5.1993021965026855,1.0349469184875488,NIST256p,256
23,140,5.33406925201416,1.077265739440918,NIST256p,256
24,146,5.713404178619385,1.183837652206421,NIST256p,256
25,152,5.846062421798706,1.2484006881713867,NIST256p,256
26,158,6.132521152496338,1.2355926036834717,NIST256p,256
27,164,6.268306255340576,1.3422017097473145,NIST256p,256
28,170,6.5582826137542725,1.330808162689209,NIST256p,256
29,176,6.936969518661499,1.4308557510375977,NIST256p,256
30,182,7.005444526672363,1.4288158416748047,NIST256p,256
31,188,7.266692161560059,1.4804975986480713,NIST256p,256
32,194,7.403501510620117,1.526073694229126,NIST256p,256
33,200,7.658565998077393,1.5832860469818115,NIST256p,256
34,206,8.008826732635498,1.6361699104309082,NIST256p,256
35,212,8.12264609336853,1.735943078994751,NIST256p,256
36,218,8.512437582015991,1.7983083724975586,NIST256p,256
37,224,8.659559965133667,1.7877235412597656,NIST256p,256
38,230,8.87163233757019,1.8534677028656006,NIST256p,256
39,236,9.00623869895935,1.8977434635162354,NIST256p,256
40,242,12.913761615753174,2.5436818599700928,NIST256p,256
41,248,11.651400566101074,2.7297446727752686,NIST256p,256
42,254,12.156903982162476,2.4965221881866455,NIST256p,256
43,2,0.13338112831115723,0.1012578010559082,NIST384p,384
44,10,0.6928415298461914,0.2514643669128418,NIST384p,384
45,18,1.2731051445007324,0.39060187339782715,NIST384p,384
46,26,1.886181354522705,0.540132999420166,NIST384p,384
47,34,2.436964988708496,0.6342127323150635,NIST384p,384
48,42,2.871443033218384,0.7383732795715332,NIST384p,384
49,50,3.451068162918091,0.8304364681243896,NIST384p,384
50,58,4.094107389450073,0.975001335144043,NIST384p,384
51,66,4.6529974937438965,1.0829601287841797,NIST384p,384
52,74,5.258897304534912,1.2376914024353027,NIST384p,384
53,82,5.7497429847717285,1.337587594985962,NIST384p,384
54,90,6.235841989517212,1.41111159324646,NIST384p,384
55,98,6.995392084121704,1.4770033359527588,NIST384p,384
56,106,7.559959173202515,1.5982093811035156,NIST384p,384
57,114,7.889265298843384,1.6901793479919434,NIST384p,384
58,122,8.380010843276978,1.8518884181976318,NIST384p,384
59,130,9.610527753829956,1.8903040885925293,NIST384p,384
60,138,9.844622135162354,2.0967695713043213,NIST384p,384
61,146,10.105392217636108,2.058044910430908,NIST384p,384
62,154,10.719837188720703,2.1856961250305176,NIST384p,384
63,162,11.4654700756073,2.352487087249756,NIST384p,384
64,170,11.70913028717041,2.4407095909118652,NIST384p,384
65,178,12.52261757850647,2.5153839588165283,NIST384p,384
66,186,12.961682319641113,2.6461079120635986,NIST384p,384
67,194,13.434653997421265,2.7247345447540283,NIST384p,384
68,202,14.13335919380188,2.878664255142212,NIST384p,384
69,210,14.499000072479248,2.988077402114868,NIST384p,384
70,218,15.235297441482544,3.1893131732940674,NIST384p,384
71,226,15.885016918182373,3.2927801609039307,NIST384p,384
72,234,16.365527391433716,3.314256429672241,NIST384p,384
73,242,16.548627138137817,3.4634451866149902,NIST384p,384
74,250,17.20843267440796,3.5348398685455322,NIST384p,384
75,258,17.641960620880127,3.680742025375366,NIST384p,384
76,266,18.368018627166748,3.7645413875579834,NIST384p,384
77,274,18.67624855041504,3.868354558944702,NIST384p,384
78,282,19.507214784622192,4.144569635391235,NIST384p,384
79,290,20.017557382583618,4.305225849151611,NIST384p,384
80,298,21.19518542289734,4.319785118103027,NIST384p,384
81,306,21.066697359085083,4.5498292446136475,NIST384p,384
82,314,21.645174980163574,4.563488483428955,NIST384p,384
83,322,21.926771640777588,4.735140323638916,NIST384p,384
84,330,24.21897578239441,4.776576042175293,NIST384p,384
85,338,23.06624436378479,4.93159818649292,NIST384p,384
86,346,23.559991121292114,5.111710071563721,NIST384p,384
87,354,24.251660108566284,5.197951793670654,NIST384p,384
88,362,25.021025896072388,5.403595209121704,NIST384p,384
89,370,25.565711975097656,5.368860244750977,NIST384p,384
90,378,26.1934814453125,5.532703638076782,NIST384p,384
91,2,0.18790197372436523,0.14982032775878906,NIST521p,521
92,13,1.2441425323486328,0.42757606506347656,NIST521p,521
93,24,2.2904465198516846,0.6359527111053467,NIST521p,521
94,35,3.333228826522827,0.859694242477417,NIST521p,521
95,46,4.389810800552368,1.1278712749481201,NIST521p,521
96,57,5.386577367782593,1.3531272411346436,NIST521p,521
97,68,6.496386766433716,1.5072143077850342,NIST521p,521
98,79,7.688966751098633,1.8319268226623535,NIST521p,521
99,90,8.57627272605896,1.9336137771606445,NIST521p,521
100,101,9.611242294311523,2.1225032806396484,NIST521p,521
101,112,10.503572225570679,2.4208850860595703,NIST521p,521
102,123,11.915584564208984,2.7799072265625,NIST521p,521
103,134,12.73951244354248,2.611560106277466,NIST521p,521
104,145,13.768615007400513,2.739405632019043,NIST521p,521
105,156,14.739417314529419,2.9911935329437256,NIST521p,521
106,167,15.611292123794556,3.226072311401367,NIST521p,521
107,178,17.24341607093811,3.443397045135498,NIST521p,521
108,189,17.85822105407715,3.6324682235717773,NIST521p,521
109,200,19.4622323513031,3.7981088161468506,NIST521p,521
110,211,20.91448736190796,4.530362367630005,NIST521p,521
111,222,23.162149667739868,4.265046119689941,NIST521p,521
112,233,26.139597177505493,4.591241359710693,NIST521p,521
113,244,25.037713289260864,4.811625242233276,NIST521p,521
114,255,24.054517030715942,4.921224355697632,NIST521p,521
115,266,32.087979793548584,5.154296636581421,NIST521p,521
116,277,38.37627077102661,8.196402072906494,NIST521p,521
117,288,39.41229271888733,8.79860544204712,NIST521p,521
118,299,39.560964584350586,7.095945358276367,NIST521p,521
119,310,30.731208086013794,9.657921552658081,NIST521p,521
120,321,31.4146728515625,6.305913686752319,NIST521p,521
121,332,44.38947033882141,8.541401624679565,NIST521p,521
122,343,45.82076120376587,9.567286252975464,NIST521p,521
123,354,47.764549255371094,10.088628768920898,NIST521p,521
124,365,51.56938552856445,14.972755908966064,NIST521p,521
125,376,47.51291847229004,9.857688188552856,NIST521p,521
126,387,49.96331167221069,11.79785704612732,NIST521p,521
127,398,59.53963303565979,11.290923833847046,NIST521p,521
128,409,57.21453046798706,9.400457382202148,NIST521p,521
129,420,57.0440034866333,14.237326622009277,NIST521p,521
130,431,55.090354919433594,13.27622938156128,NIST521p,521
131,442,56.66104316711426,13.010333061218262,NIST521p,521
132,453,66.41964626312256,15.741920471191406,NIST521p,521
133,464,65.3844165802002,14.39738941192627,NIST521p,521
134,475,64.90409231185913,13.441107034683228,NIST521p,521
135,486,66.75617575645447,13.101980209350586,NIST521p,521
136,497,71.87707710266113,13.825554132461548,NIST521p,521
137,508,72.70302367210388,16.190157413482666,NIST521p,521
138,519,80.73718523979187,18.964807748794556,NIST521p,521
